,artist,number,title,year
1302,Jim Croce,2,"Bad, Bad Leroy Brown",1973
1303,Roberta Flack,3,Killing Me Softly with His Song,1973
1304,Marvin Gaye,4,Let's Get It On,1973
1305,Paul McCartney & Wings,5,My Love,1973
1306,Kris Kristofferson,6,Why Me,1973
1307,Elton John,7,Crocodile Rock,1973
1308,Billy Preston,8,Will It Go Round in Circles,1973
1309,Carly Simon,9,You're So Vain,1973
1310,Diana Ross,10,Touch Me in the Morning,1973
1311,Vicki Lawrence,11,The Night the Lights Went Out in Georgia,1973
1312,Clint Holmes,12,Playground in My Mind,1973
1313,Stories,13,Brother Louie,1973
1314,Helen Reddy,14,Delta Dawn,1973
1315,Billy Paul,15,Me and Mrs. Jones,1973
1316,The Edgar Winter Group,16,Frankenstein,1973
1317,Dobie Gray,17,Drift Away,1973
1318,Sweet,18,Little Willy,1973
1319,Stevie Wonder,19,You Are the Sunshine of My Life,1973
1320,Cher,20,Half-Breed,1973
1321,The Isley Brothers,21,That Lady,1973
1322,Sylvia,22,Pillow Talk,1973
1323,Grand Funk Railroad,23,We're an American Band,1973
1324,Dr. John,24,Right Place Wrong Time,1973
1325,Skylark,25,Wildflower,1973
1326,Stevie Wonder,26,Superstition,1973
1327,Paul Simon,27,Loves Me Like a Rock,1973
1328,Maureen McGovern,28,The Morning After,1973
1329,John Denver,29,Rocky Mountain High,1973
1330,Stealers Wheel,30,Stuck in the Middle with You,1973
1331,Three Dog Night,31,Shambala,1973
1332,The O'Jays,32,Love Train,1973
1333,Barry White,33,I'm Gonna Love You Just a Little More Baby,1973
1334,Tony Orlando and Dawn,34,"Say, Has Anybody Seen My Sweet Gypsy Rose",1973
1335,Eddie Kendricks,35,Keep on Truckin',1973
1336,Anne Murray,36,Danny's Song,1973
1337,King Harvest,37,Dancing in the Moonlight,1973
1338,Bobby 'Boris' Pickett,38,Monster Mash,1973
1339,Bloodstone,39,Natural High,1973
1340,Seals and Crofts,40,Diamond Girl,1973
1341,The Doobie Brothers,41,Long Train Runnin',1973
1342,George Harrison,42,Give Me Love (Give Me Peace on Earth),1973
1343,Sly & the Family Stone,43,If You Want Me to Stay,1973
1344,Jermaine Jackson,44,Daddy's Home,1973
1345,Gladys Knight & the Pips,45,Neither One of Us (Wants to Be the First to Say Goodbye),1973
1346,New York City,46,I'm Doin' Fine Now,1973
1347,The Spinners,47,Could It Be I'm Falling in Love,1973
1348,Elton John,48,Daniel,1973
1349,Gladys Knight & the Pips,49,Midnight Train to Georgia,1973
1350,Deep Purple,50,Smoke on the Water,1973
1351,Dr. Hook & The Medicine Show,51,The Cover of the Rolling Stone,1973
1352,Charlie Rich,52,Behind Closed Doors,1973
1353,Loggins and Messina,53,Your Mama Don't Dance,1973
1354,Chicago,54,Feelin' Stronger Every Day,1973
1355,War,55,The Cisco Kid,1973
1356,Paul McCartney & Wings,56,Live and Let Die,1973
1357,Hurricane Smith,57,"Oh, Babe, What Would You Say?",1973
1358,Johnnie Taylor,58,I Believe in You (You Believe in Me),1973
1359,The Carpenters,59,Sing,1973
1360,The Four Tops,60,Ain't No Woman (Like the One I've Got),1973
1361,Eric Weissberg & Steve Mandell,61,Dueling Banjos,1973
1362,Stevie Wonder,62,Higher Ground,1973
1363,Al Green,63,Here I Am (Come and Take Me),1973
1364,B.W. Stevenson,64,My Maria,1973
1365,Curtis Mayfield,65,Superfly,1973
1366,Edward Bear,66,Last Song,1973
1367,Gilbert O'Sullivan,67,Get Down,1973
1368,Steely Dan,68,Reelin' in the Years,1973
1369,Focus,69,Hocus Pocus,1973
1370,The Carpenters,70,Yesterday Once More,1973
1371,Bette Midler,71,Boogie Woogie Bugle Boy,1973
1372,Gilbert O'Sullivan,72,Clair,1973
1373,Steely Dan,73,Do It Again,1973
1374,Paul Simon,74,Kodachrome,1973
1375,Timmy Thomas,75,Why Can't We Live Together,1973
1376,Bette Midler,76,Do You Wanna Dance?,1973
1377,Tower of Power,77,So Very Hard to Go,1973
1378,Johnny Rivers,78,Rockin' Pneumonia and the Boogie Woogie Flu,1973
1379,The Allman Brothers Band,79,Ramblin' Man,1973
1380,The Temptations,80,Masterpiece,1973
1381,Helen Reddy,81,Peaceful,1973
1382,The Spinners,82,One of a Kind (Love Affair),1973
1383,Donna Fargo,83,Funny Face,1973
1384,Ohio Players,84,Funky Worm,1973
1385,The Rolling Stones,85,Angie,1973
1386,Blue Ridge Rangers,86,Jambalaya (On the Bayou),1973
1387,Lobo,87,Don't Expect Me to Be Your Friend,1973
1388,The Stylistics,88,Break Up to Make Up,1973
1389,Jud Strunk,89,Daisy a Day,1973
1390,Deodato,90,Also Sprach Zarathustra (2001),1973
1391,Johnny Nash,91,Stir It Up,1973
1392,Pink Floyd,92,Money,1973
1393,War,93,Gypsy Man,1973
1394,War,94,The World Is a Ghetto,1973
1395,The Pointer Sisters,95,Yes We Can Can,1973
1396,The Edgar Winter Group,96,Free Ride,1973
1397,David Bowie,97,Space Oddity,1973
1398,Albert Hammond,98,It Never Rains in Southern California,1973
1399,Donny Osmond,99,The Twelfth of Never,1973
1400,The Temptations,100,Papa Was a Rollin' Stone,1973
1401,Barbra Streisand,1,The Way We Were,1974
1402,Terry Jacks,2,Seasons in the Sun,1974
1403,Love Unlimited Orchestra,3,Love's Theme,1974
1404,Redbone,4,Come and Get Your Love,1974
1405,The Jackson 5,5,Dancing Machine,1974
1406,Grand Funk Railroad,6,The Loco-Motion,1974
1407,MFSB,7,TSOP (The Sound of Philadelphia),1974
1408,Ray Stevens,8,The Streak,1974
1409,Elton John,9,Bennie and the Jets,1974
1410,Mac Davis,10,One Hell of a Woman,1974
1411,Aretha Franklin,11,Until You Come Back to Me (That's What I'm Gonna Do),1974
1412,Kool & the Gang,12,Jungle Boogie,1974
1413,Maria Muldaur,13,Midnight at the Oasis,1974
1414,The Stylistics,14,You Make Me Feel Brand New,1974
1415,Al Wilson,15,Show and Tell,1974
1416,Jim Stafford,16,Spiders and Snakes,1974
1417,David Essex,17,Rock On,1974
1418,John Denver,18,Sunshine on My Shoulders,1974
1419,Blue Magic,19,Sideshow,1974
1420,Blue Swede,20,Hooked on a Feeling,1974
1421,Bo Donaldson and The Heywoods,21,Billy Don't Be a Hero,1974
1422,Paul McCartney and Wings,22,Band on the Run,1974
1423,Charlie Rich,23,The Most Beautiful Girl,1974
1424,Jim Croce,24,Time in a Bottle,1974
1425,John Denver,25,Annie's Song,1974
1426,Olivia Newton-John,26,Let Me Be There,1974
1427,Gordon Lightfoot,27,Sundown,1974
1428,Paul Anka,28,(You're) Having My Baby,1974
1429,Andy Kim,29,Rock Me Gently,1974
1430,Eddie Kendricks,30,Boogie Down,1974
1431,Ringo Starr,31,You're Sixteen,1974
1432,Olivia Newton-John,32,If You Love Me (Let Me Know),1974
1433,Cher,33,Dark Lady,1974
1434,Gladys Knight & the Pips,34,Best Thing That Ever Happened to Me,1974
1435,Roberta Flack,35,Feel Like Makin' Love,1974
1436,The Main Ingredient,36,Just Don't Want to Be Lonely,1974
1437,Billy Preston,37,Nothing from Nothing,1974
1438,George McCrae,38,Rock Your Baby,1974
1439,The Carpenters,39,Top of the World,1974
1440,Steve Miller Band,40,The Joker,1974
1441,Gladys Knight & the Pips,41,I've Got to Use My Imagination,1974
1442,Three Dog Night,42,The Show Must Go On,1974
1443,The Hues Corporation,43,Rock the Boat,1974
1444,Brownsville Station,44,Smokin' in the Boys Room,1974
1445,Stevie Wonder,45,Living for the City,1974
1446,Paper Lace,46,The Night Chicago Died,1974
1447,Dionne Warwick & The Spinners,47,Then Came You,1974
1448,Marvin Hamlisch,48,The Entertainer,1974
1449,ABBA,49,Waterloo,1974
1450,The Hollies,50,The Air That I Breathe,1974
1451,Steely Dan,51,Rikki Don't Lose That Number,1974
1452,Carly Simon & James Taylor,52,Mockingbird,1974
1453,Joni Mitchell,53,Help Me,1974
1454,Anne Murray,54,You Won't See Me,1974
1455,Barry White,55,"Never, Never Gonna Give You Up",1974
1456,Rufus & Chaka Khan,56,Tell Me Something Good,1974
1457,Helen Reddy,57,You and Me Against the World,1974
1458,The Righteous Brothers,58,Rock and Roll Heaven,1974
1459,Kool & the Gang,59,Hollywood Swinging,1974
1460,William DeVaughn,60,Be Thankful for What You Got,1974
1461,Johnny Bristol,61,Hang on in There Baby,1974
1462,Mocedades,62,Eres tú,1974
1463,Bachman-Turner Overdrive,63,Takin' Care of Business,1974
1464,Golden Earring,64,Radar Love,1974
1465,Dave Loggins,65,Please Come to Boston,1974
1466,Wet Willie,66,Keep on Smilin',1974
1467,Bobby Womack,67,Lookin' for a Love,1974
1468,The O'Jays,68,Put Your Hands Together,1974
1469,Gladys Knight & the Pips,69,On and On,1974
1470,Cat Stevens,70,Oh Very Young,1974
1471,Helen Reddy,71,Leave Me Alone (Ruby Red Dress),1974
1472,Elton John,72,Goodbye Yellow Brick Road,1974
1473,Chicago,73,(I've Been) Searchin' So Long,1974
1474,Ringo Starr,74,Oh My My,1974
1475,The O'Jays,75,For the Love of Money,1974
1476,Eric Clapton,76,I Shot the Sheriff,1974
1477,Paul McCartney and Wings,77,Jet,1974
1478,Elton John,78,Don't Let the Sun Go Down on Me,1974
1479,Mike Oldfield,79,Tubular Bells,1974
1480,Anne Murray,80,A Love Song,1974
1481,Donny and Marie Osmond,81,I'm Leaving It Up to You,1974
1482,Todd Rundgren,82,Hello It's Me,1974
1483,Tom T. Hall,83,I Love,1974
1484,The Guess Who featuring Wolfman Jack,84,Clap for the Wolfman,1974
1485,Jim Croce,85,I'll Have to Say I Love You in a Song,1974
1486,Sister Janet Mead,86,The Lord's Prayer,1974
1487,Lamont Dozier,87,Trying To Hold On To My Woman,1974
1488,Stevie Wonder,88,Don't You Worry 'bout a Thing,1974
1489,Charlie Rich,89,A Very Special Love Song,1974
1490,Jim Stafford,90,My Girl Bill,1974
1491,Paul McCartney and Wings,91,Helen Wheels,1974
1492,Diana Ross & Marvin Gaye,92,My Mistake (Was to Love You),1974
1493,Jim Stafford,93,Wildwood Weed,1974
1494,The First Class,94,Beach Baby,1974
1495,War,95,Me and Baby Brother,1974
1496,The Stylistics,96,Rockin' Roll Baby,1974
1497,Olivia Newton-John,97,I Honestly Love You,1974
1498,Chicago,98,Call on Me,1974
1499,Fancy,99,Wild Thing,1974
1500,The Spinners,100,Mighty Love,1974
1501,Captain & Tennille,1,Love Will Keep Us Together,1975
1502,Glen Campbell,2,Rhinestone Cowboy,1975
1503,Elton John,3,Philadelphia Freedom,1975
1504,Freddy Fender,4,Before the Next Teardrop Falls,1975
1505,Frankie Valli,5,My Eyes Adored You,1975
1506,"Earth, Wind & Fire",6,Shining Star,1975
1507,David Bowie,7,Fame,1975
1508,Neil Sedaka,8,Laughter in the Rain,1975
1509,Eagles,9,One of These Nights,1975
1510,John Denver,10,Thank God I'm a Country Boy,1975
1511,Bee Gees,11,Jive Talkin',1975
1512,Eagles,12,Best of My Love,1975
1513,Minnie Riperton,13,Lovin' You,1975
1514,Carl Douglas,14,Kung Fu Fighting,1975
1515,The Doobie Brothers,15,Black Water,1975
1516,Sweet,16,The Ballroom Blitz,1975
1517,B.J. Thomas,17,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,1975
1518,Tony Orlando and Dawn,18,He Don't Love You (Like I Love You),1975
1519,Janis Ian,19,At Seventeen,1975
1520,Average White Band,20,Pick Up the Pieces,1975
1521,Van McCoy & the Soul City Symphony,21,The Hustle,1975
1522,Labelle,22,Lady Marmalade,1975
1523,War,23,Why Can't We Be Friends,1975
1524,Major Harris,24,Love Won't Let Me Wait,1975
1525,Stevie Wonder,25,Boogie On Reggae Woman,1975
1526,Freddy Fender,26,Wasted Days and Wasted Nights,1975
1527,The Isley Brothers,27,Fight the Power,1975
1528,Helen Reddy,28,Angie Baby,1975
1529,Ozark Mountain Daredevils,29,Jackie Blue,1975
1530,Ohio Players,30,Fire,1975
1531,Pilot,31,Magic,1975
1532,The Carpenters,32,Please Mr. Postman,1975
1533,America,33,Sister Golden Hair,1975
1534,Elton John,34,Lucy in the Sky with Diamonds,1975
1535,Barry Manilow,35,Mandy,1975
1536,Olivia Newton-John,36,Have You Never Been Mellow,1975
1537,Barry Manilow,37,Could It Be Magic,1975
1538,Harry Chapin,38,Cat's in the Cradle,1975
1539,Michael Martin Murphey,39,Wildfire,1975
1540,Jessi Colter,40,I'm Not Lisa,1975
1541,Wings,41,Listen to What the Man Said,1975
1542,10cc,42,I'm Not in Love,1975
1543,Billy Swan,43,I Can Help,1975
1544,"Hamilton, Joe Frank & Reynolds",44,Fallin' in Love,1975
1545,Morris Albert,45,Feelings,1975
1546,Sammy Johns,46,Chevy Van,1975
1547,Linda Ronstadt,47,When Will I Be Loved,1975
1548,Barry White,48,"You're the First, the Last, My Everything",1975
1549,Olivia Newton-John,49,Please Mr. Please,1975
1550,Linda Ronstadt,50,You're No Good,1975
1551,Bazuka,51,Dynomite,1975
1552,The Blackbyrds,52,Walking in Rhythm,1975
1553,Gladys Knight & the Pips,53,The Way We Were/Try to Remember,1975
1554,Melissa Manchester,54,Midnight Blue,1975
1555,Sugarloaf,55,"Don't Call Us, We'll Call You",1975
1556,Phoebe Snow,56,Poetry Man,1975
1557,Ace,57,How Long,1975
1558,B.T. Express,58,Express,1975
1559,"Earth, Wind & Fire",59,That's the Way of the World,1975
1560,Styx,60,Lady,1975
1561,Grand Funk,61,Bad Time,1975
1562,Alice Cooper,62,Only Women Bleed,1975
1563,Carol Douglas,63,Doctor's Orders,1975
1564,KC and the Sunshine Band,64,Get Down Tonight,1975
1565,Paul Anka & Odia Coates,65,One Man Woman/One Woman Man,1975
1566,Joe Cocker,66,You Are So Beautiful,1975
1567,Bad Company,67,Feel Like Makin' Love,1975
1568,James Taylor,68,How Sweet It Is (To Be Loved by You),1975
1569,Orleans,69,Dance with Me,1975
1570,Average White Band,70,Cut the Cake,1975
1571,Gloria Gaynor,71,Never Can Say Goodbye,1975
1572,Paul Anka,72,I Don't Like to Sleep Alone,1975
1573,Donny & Marie Osmond,73,Morning Side of the Mountain,1975
1574,Grand Funk Railroad,74,Some Kind of Wonderful,1975
1575,The Three Degrees,75,When Will I See You Again,1975
1576,Joe Simon,76,"Get Down, Get Down (Get on the Floor)",1975
1577,John Denver,77,I'm Sorry,1975
1578,Queen,78,Killer Queen,1975
1579,Eddie Kendricks,79,Shoeshine Boy,1975
1580,B.T. Express,80,Do It ('Til You're Satisfied),1975
1581,Electric Light Orchestra,81,Can't Get It Out of My Head,1975
1582,Al Green,82,Sha-La-La (Make Me Happy),1975
1583,America,83,Lonely People,1975
1584,Rufus,84,You Got the Love,1975
1585,Mike Post,85,The Rockford Files Theme,1975
1586,Tavares,86,It Only Takes a Minute,1975
1587,Ringo Starr,87,No No Song,1975
1588,Paul McCartney & Wings,88,Junior's Farm,1975
1589,Jethro Tull,89,Bungle in the Jungle,1975
1590,Leo Sayer,90,Long Tall Glasses,1975
1591,Ray Stevens,91,Misty,1975
1592,Elton John,92,Someone Saved My Life Tonight,1975
1593,Neil Sedaka & Elton John,93,Bad Blood,1975
1594,The Carpenters,94,Only Yesterday,1975
1595,Dwight Twilley Band,95,I'm on Fire,1975
1596,Ringo Starr,96,Only You (And You Alone),1975
1597,Amazing Rhythm Aces,97,Third Rate Romance,1975
1598,Bachman–Turner Overdrive,98,You Ain't Seen Nothing Yet,1975
1599,Frankie Valli,99,Swearin' to God,1975
1600,Disco-Tex and the Sex-O-Lettes,100,Get Dancin',1975
1601,Wings,1,Silly Love Songs,1976
1602,Elton John & Kiki Dee,2,Don't Go Breaking My Heart,1976
1603,Johnnie Taylor,3,Disco Lady,1976
1604,The Four Seasons,4,"December, 1963 (Oh, What a Night)",1976
1605,Wild Cherry,5,Play That Funky Music,1976
1606,The Manhattans,6,Kiss and Say Goodbye,1976
1607,The Miracles,7,Love Machine,1976
1608,Paul Simon,8,50 Ways to Leave Your Lover,1976
1609,Gary Wright,9,Love Is Alive,1976
1610,Walter Murphy & The Big Apple Band,10,A Fifth of Beethoven,1976
1611,Hall & Oates,11,Sara Smile,1976
1612,Starland Vocal Band,12,Afternoon Delight,1976
1613,Barry Manilow,13,I Write the Songs,1976
1614,Silver Convention,14,"Fly, Robin, Fly",1976
1615,Diana Ross,15,Love Hangover,1976
1616,Seals and Crofts,16,Get Closer,1976
1617,Andrea True Connection,17,"More, More, More",1976
1618,Queen,18,Bohemian Rhapsody,1976
1619,Dorothy Moore,19,Misty Blue,1976
1620,The Sylvers,20,Boogie Fever,1976
1621,England Dan & John Ford Coley,21,I'd Really Love to See You Tonight,1976
1622,Hot Chocolate,22,You Sexy Thing,1976
1623,Nazareth,23,Love Hurts,1976
1624,Silver Convention,24,Get Up and Boogie,1976
1625,Eagles,25,Take It to the Limit,1976
1626,KC and the Sunshine Band,26,"(Shake, Shake, Shake) Shake Your Booty",1976
1627,Commodores,27,Sweet Love,1976
1628,Maxine Nightingale,28,Right Back Where We Started From,1976
1629,Rhythm Heritage,29,Theme from S.W.A.T.,1976
1630,Ohio Players,30,Love Rollercoaster,1976
1631,Bee Gees,31,You Should Be Dancing,1976
1632,Lou Rawls,32,You'll Never Find Another Love Like Mine,1976
1633,David Bowie,33,Golden Years,1976
1634,Starbuck,34,Moonlight Feels Right,1976
1635,Dr. Hook,35,Only Sixteen,1976
1636,The Bellamy Brothers,36,Let Your Love Flow,1976
1637,Gary Wright,37,Dream Weaver,1976
1638,Vicki Sue Robinson,38,Turn the Beat Around,1976
1639,Captain & Tennille,39,Lonely Night (Angel Face),1976
1640,Eric Carmen,40,All by Myself,1976
1641,Donna Summer,41,Love to Love You Baby,1976
1642,Donny & Marie Osmond,42,Deep Purple,1976
1643,Diana Ross,43,Theme from Mahogany (Do You Know Where You're Going To),1976
1644,Rufus,44,Sweet Thing,1976
1645,KC and the Sunshine Band,45,That's the Way (I Like It),1976
1646,Dr. Hook,46,A Little Bit More,1976
1647,Henry Gross,47,Shannon,1976
1648,Chicago,48,If You Leave Me Now,1976
1649,Boz Scaggs,49,Lowdown,1976
1650,Peter Frampton,50,Show Me the Way,1976
1651,Aerosmith,51,Dream On,1976
1652,The O'Jays,52,I Love Music,1976
1653,Fleetwood Mac,53,Say You Love Me,1976
1654,Paul Anka,54,Times of Your Life,1976
1655,Cliff Richard,55,Devil Woman,1976
1656,Elvin Bishop,56,Fooled Around and Fell in Love,1976
1657,C. W. McCall,57,Convoy,1976
1658,John Sebastian,58,Welcome Back,1976
1659,"Earth, Wind & Fire",59,Sing a Song,1976
1660,Tavares,60,Heaven Must Be Missing an Angel,1976
1661,The Brothers Johnson,61,I'll Be Good to You,1976
1662,The Beach Boys,62,Rock and Roll Music,1976
1663,Captain & Tennille,63,Shop Around,1976
1664,Bay City Rollers,64,Saturday Night,1976
1665,Elton John,65,Island Girl,1976
1666,The Staple Singers,66,Let's Do It Again,1976
1667,Wings,67,Let 'Em In,1976
1668,Wing and a Prayer Fife and Drum Corps,68,Baby Face,1976
1669,George Benson,69,This Masquerade,1976
1670,Electric Light Orchestra,70,Evil Woman,1976
1671,Silver,71,Wham Bam,1976
1672,Keith Carradine,72,I'm Easy,1976
1673,Harold Melvin & the Blue Notes,73,Wake Up Everybody,1976
1674,War,74,Summer,1976
1675,John Travolta,75,Let Her In,1976
1676,Sweet,76,Fox on the Run,1976
1677,Fleetwood Mac,77,Rhiannon,1976
1678,The Beatles,78,Got to Get You into My Life,1976
1679,Bee Gees,79,Fanny (Be Tender with My Love),1976
1680,"Earth, Wind & Fire",80,Getaway,1976
1681,Hall & Oates,81,She's Gone,1976
1682,Orleans,82,Still the One,1976
1683,Queen,83,You're My Best Friend,1976
1684,Jefferson Starship,84,With Your Love,1976
1685,Foghat,85,Slow Ride,1976
1686,Ohio Players,86,Who'd She Coo?,1976
1687,Thin Lizzy,87,The Boys Are Back in Town,1976
1688,David Ruffin,88,Walk Away from Love,1976
1689,Peter Frampton,89,"Baby, I Love Your Way (Live)",1976
1690,Candi Staton,90,Young Hearts Run Free,1976
1691,Neil Sedaka,91,Breaking Up Is Hard to Do,1976
1692,Bay City Rollers,92,Money Honey,1976
1693,Parliament,93,Give Up the Funk (Tear the Roof off the Sucker),1976
1694,Larry Groce,94,Junk Food Junkie,1976
1695,Barry Manilow,95,Tryin' to Get the Feeling Again,1976
1696,Kiss,96,Rock and Roll All Nite,1976
1697,Rick Dees & His Cast of Idiots,97,Disco Duck,1976
1698,Steve Miller Band,98,Take the Money and Run,1976
1699,The Who,99,Squeeze Box,1976
1700,Glen Campbell,100,Country Boy (You Got Your Feet in L.A.),1976
1701,Rod Stewart,1,Tonight's the Night (Gonna Be Alright),1977
1702,Andy Gibb,2,I Just Want to Be Your Everything,1977
1703,The Emotions,3,Best of My Love,1977
1704,Barbra Streisand,4,Evergreen (Love Theme from A Star Is Born),1977
1705,Hot,5,Angel in Your Arms,1977
1706,Kenny Nolan,6,I Like Dreamin',1977
1707,Thelma Houston,7,Don't Leave Me This Way,1977
1708,Rita Coolidge,8,(Your Love Has Lifted Me) Higher and Higher,1977
1709,Alan O'Day,9,Undercover Angel,1977
1710,Mary MacGregor,10,Torn Between Two Lovers,1977
1711,KC and the Sunshine Band,11,I'm Your Boogie Man,1977
1712,ABBA,12,Dancing Queen,1977
1713,Leo Sayer,13,You Make Me Feel Like Dancing,1977
1714,Jimmy Buffett,14,Margaritaville,1977
1715,Electric Light Orchestra,15,Telephone Line,1977
1716,Pablo Cruise,16,Whatcha Gonna Do?,1977
1717,Peter McCann,17,Do You Wanna Make Love,1977
1718,Stevie Wonder,18,Sir Duke,1977
1719,Eagles,19,Hotel California,1977
1720,Marvin Gaye,20,Got to Give It Up,1977
1721,"Bill Conti, DeEtta Little and Nelson Pigford",21,Gonna Fly Now,1977
1722,Glen Campbell,22,Southern Nights,1977
1723,Hall & Oates,23,Rich Girl,1977
1724,Leo Sayer,24,When I Need You,1977
1725,The Sylvers,25,Hot Line,1977
1726,Rose Royce,26,Car Wash,1977
1727,Marilyn McCoo & Billy Davis Jr.,27,You Don't Have to Be a Star (To Be in My Show),1977
1728,Steve Miller Band,28,Fly Like an Eagle,1977
1729,David Soul,29,Don't Give Up on Us,1977
1730,Stephen Bishop,30,On and On,1977
1731,Foreigner,31,Feels Like the First Time,1977
1732,Climax Blues Band,32,Couldn't Get It Right,1977
1733,Commodores,33,Easy,1977
1734,Jennifer Warnes,34,Right Time of the Night,1977
1735,Natalie Cole,35,I've Got Love on My Mind,1977
1736,Manfred Mann's Earth Band,36,Blinded by the Light,1977
1737,Barry Manilow,37,Looks Like We Made It,1977
1738,Atlanta Rhythm Section,38,So in to You,1977
1739,Fleetwood Mac,39,Dreams,1977
1740,The Jacksons,40,Enjoy Yourself,1977
1741,Brick,41,Dazz,1977
1742,Peter Frampton,42,I'm in You,1977
1743,Kenny Rogers,43,Lucille,1977
1744,10cc,44,The Things We Do for Love,1977
1745,Shaun Cassidy,45,Da Doo Ron Ron,1977
1746,James Taylor,46,Handy Man,1977
1747,"Crosby, Stills & Nash",47,Just a Song Before I Go,1977
1748,Alice Cooper,48,You and Me,1977
1749,Johnny Rivers,49,Swayin' to the Music (Slow Dancing),1977
1750,Andrew Gold,50,Lonely Boy,1977
1751,Stevie Wonder,51,I Wish,1977
1752,Fleetwood Mac,52,Don't Stop,1977
1753,Heart,53,Barracuda,1977
1754,The Brothers Johnson,54,Strawberry Letter 23,1977
1755,Bob Seger & The Silver Bullet Band,55,Night Moves,1977
1756,Helen Reddy,56,You're My World,1977
1757,The Marshall Tucker Band,57,Heard It in a Love Song,1977
1758,Kansas,58,Carry On Wayward Son,1977
1759,Eagles,59,New Kid in Town,1977
1760,Barbra Streisand,60,My Heart Belongs to Me,1977
1761,Engelbert Humperdinck,61,After the Lovin',1977
1762,Steve Miller Band,62,Jet Airliner,1977
1763,Burton Cummings,63,Stand Tall,1977
1764,Elvis Presley,64,Way Down,1977
1765,Barry Manilow,65,Weekend in New England,1977
1766,Ronnie Milsap,66,It Was Almost Like a Song,1977
1767,Sanford-Townsend Band,67,Smoke from a Distant Fire,1977
1768,Foreigner,68,Cold as Ice,1977
1769,Dean Friedman,69,Ariel,1977
1770,Bread,70,Lost Without Your Love,1977
1771,Meco,71,Star Wars Theme/Cantina Band,1977
1772,The Floaters,72,Float On,1977
1773,Lord David Dundas,73,Jeans On,1977
1774,Boz Scaggs,74,Lido Shuffle,1977
1775,KC and the Sunshine Band,75,Keep It Comin' Love,1977
1776,Bay City Rollers,76,You Made Me Believe in Magic,1977
1777,Electric Light Orchestra,77,Livin' Thing,1977
1778,Supertramp,78,Give a Little Bit,1977
1779,Shaun Cassidy,79,That's Rock 'n' Roll,1977
1780,Bee Gees,80,Love So Right,1977
1781,The Spinners,81,The Rubberband Man,1977
1782,Alice Cooper,82,I Never Cry,1977
1783,Carly Simon,83,Nobody Does It Better,1977
1784,The Sylvers,84,High School Dance,1977
1785,Kenny Nolan,85,Love's Grown Deep,1977
1786,Joe Tex,86,Ain't Gonna Bump No More (With No Big Fat Woman),1977
1787,Rose Royce,87,I Wanna Get Next to You,1977
1788,Queen,88,Somebody to Love,1977
1789,Captain & Tennille,89,Muskrat Love,1977
1790,Aerosmith,90,Walk This Way,1977
1791,Dr. Buzzard's Original Savannah Band,91,Cherchez La Femme,1977
1792,Al Stewart,92,Year of the Cat,1977
1793,Heatwave,93,Boogie Nights,1977
1794,Fleetwood Mac,94,Go Your Own Way,1977
1795,Elton John,95,Sorry Seems to Be the Hardest Word,1977
1796,B.J. Thomas,96,Don't Worry Baby,1977
1797,ABBA,97,"Knowing Me, Knowing You",1977
1798,Leo Sayer,98,How Much Love,1977
1799,London Symphony Orchestra,99,Star Wars (Main Title),1977
1800,C.J. & Company,100,Devil's Gun,1977
1801,Andy Gibb,1,Shadow Dancing,1978
1802,Bee Gees,2,Night Fever,1978
1803,Debby Boone,3,You Light Up My Life,1978
1804,Bee Gees,4,Stayin' Alive,1978
1805,Exile,5,Kiss You All Over,1978
1806,Bee Gees,6,How Deep Is Your Love,1978
1807,Player,7,Baby Come Back,1978
1808,Andy Gibb,8,(Love Is) Thicker Than Water,1978
1809,A Taste of Honey,9,Boogie Oogie Oogie,1978
1810,Commodores,10,Three Times a Lady,1978
1811,Frankie Valli,11,Grease,1978
1812,Paul Davis,12,I Go Crazy,1978
1813,John Travolta & Olivia Newton-John,13,You're the One That I Want,1978
1814,Samantha Sang,14,Emotion,1978
1815,Eric Clapton,15,Lay Down Sally,1978
1816,The Rolling Stones,16,Miss You,1978
1817,Billy Joel,17,Just the Way You Are,1978
1818,Wings,18,With a Little Luck,1978
1819,Yvonne Elliman,19,If I Can't Have You,1978
1820,Chic,20,"Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)",1978
1821,Chuck Mangione,21,Feels So Good,1978
1822,Nick Gilder,22,Hot Child in the City,1978
1823,Sweet,23,Love Is Like Oxygen,1978
1824,Bonnie Tyler,24,It's a Heartache,1978
1825,Queen,25,We Will Rock You/We Are the Champions,1978
1826,Gerry Rafferty,26,Baker Street,1978
1827,Barry Manilow,27,Can't Smile Without You,1978
1828,Johnny Mathis & Deniece Williams,28,"Too Much, Too Little, Too Late",1978
1829,Peter Brown,29,Dance With Me,1978
1830,Meat Loaf,30,Two Out of Three Ain't Bad,1978
1831,Raydio,31,Jack And Jill,1978
1832,ABBA,32,Take a Chance on Me,1978
1833,Dan Hill,33,Sometimes When We Touch,1978
1834,Donna Summer,34,Last Dance,1978
1835,Olivia Newton-John,35,Hopelessly Devoted to You,1978
1836,Foreigner,36,Hot Blooded,1978
1837,Rod Stewart,37,You're in My Heart (The Final Acclaim),1978
1838,Roberta Flack & Donny Hathaway,38,The Closer I Get to You,1978
1839,Kansas,39,Dust in the Wind,1978
